{'0_w_norm': 9.247501373291016, '0_w_mean': -4.263936716597527e-05, '0_w_std': 0.02064177393913269, '0_w_max': 0.035837337374687195, '0_w_min': -0.035756535828113556, '0_g_norm': 0.16018030047416687, '0_g_mean': 4.3407658267824445e-06, '0_g_std': 0.00035751983523368835, '1_w_norm': 1.8173832893371582, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.035898324102163315, '1_w_max': 0.06268155574798584, '1_w_min': -0.06251054257154465, '1_g_norm': 0.08476200699806213, '1_g_mean': 3.956301865976064e-12, '1_g_std': 0.0016755835385993123}
{'0_w_norm': 9.24755573272705, '0_w_mean': -4.2644955101422966e-05, '0_w_std': 0.02064189314842224, '0_w_max': 0.035952500998973846, '0_w_min': -0.03586306422948837, '0_g_norm': 0.17777979373931885, '0_g_mean': 1.4721402976647369e-06, '0_g_std': 0.00039682816714048386, '1_w_norm': 1.8176411390304565, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.03590342402458191, '1_w_max': 0.06283439695835114, '1_w_min': -0.0625990554690361, '1_g_norm': 0.0945715606212616, '1_g_mean': 2.0554580607012873e-11, '1_g_std': 0.001869499683380127}
{'0_w_norm': 9.247626304626465, '0_w_mean': -4.2600411688908935e-05, '0_w_std': 0.020642047747969627, '0_w_max': 0.03613090142607689, '0_w_min': -0.03598976880311966, '0_g_norm': 0.19901564717292786, '0_g_mean': 8.561675031160121e-07, '0_g_std': 0.00044423164217732847, '1_w_norm': 1.8179823160171509, '1_w_mean': 0.0014149147318676114, '1_w_std': 0.03591017425060272, '1_w_max': 0.06308945268392563, '1_w_min': -0.06284402310848236, '1_g_norm': 0.12786608934402466, '1_g_mean': -2.7284841053187847e-12, '1_g_std': 0.0025276693049818277}
{'0_w_norm': 9.247748374938965, '0_w_mean': -4.23167111875955e-05, '0_w_std': 0.02064230851829052, '0_w_max': 0.036276381462812424, '0_w_min': -0.03610527515411377, '0_g_norm': 0.20269758999347687, '0_g_mean': -3.8204270822461694e-06, '0_g_std': 0.00045243496424518526, '1_w_norm': 1.8185555934906006, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.03592151775956154, '1_w_max': 0.06342567503452301, '1_w_min': -0.06302928179502487, '1_g_norm': 0.1138220876455307, '1_g_mean': 2.1373125491663814e-11, '1_g_std': 0.0022500460036098957}
{'0_w_norm': 9.24787712097168, '0_w_mean': -4.205108052701689e-05, '0_w_std': 0.020642602816224098, '0_w_max': 0.03654784709215164, '0_w_min': -0.036230288445949554, '0_g_norm': 0.235687717795372, '0_g_mean': -3.9959199966688175e-06, '0_g_std': 0.0005260747857391834, '1_w_norm': 1.8192182779312134, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.035934627056121826, '1_w_max': 0.06371910125017166, '1_w_min': -0.06325117498636246, '1_g_norm': 0.13182830810546875, '1_g_mean': -2.6716406864579767e-12, '1_g_std': 0.0026059946976602077}
{'0_w_norm': 9.248045921325684, '0_w_mean': -4.180993710178882e-05, '0_w_std': 0.02064298838376999, '0_w_max': 0.036813512444496155, '0_w_min': -0.03635746240615845, '0_g_norm': 0.21032755076885223, '0_g_mean': -2.9982495561853284e-06, '0_g_std': 0.00046947275404818356, '1_w_norm': 1.820081353187561, '1_w_mean': 0.001414914964698255, '1_w_std': 0.03595170006155968, '1_w_max': 0.06394070386886597, '1_w_min': -0.06356028467416763, '1_g_norm': 0.11363322287797928, '1_g_mean': 1.814441999425931e-11, '1_g_std': 0.002246312564238906}
{'0_w_norm': 9.248245239257812, '0_w_mean': -4.161866309004836e-05, '0_w_std': 0.02064344845712185, '0_w_max': 0.037124473601579666, '0_w_min': -0.03644968569278717, '0_g_norm': 0.2500852048397064, '0_g_mean': -6.495972684206208e-06, '0_g_std': 0.0005581894656643271, '1_w_norm': 1.8211135864257812, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.035972125828266144, '1_w_max': 0.0645880252122879, '1_w_min': -0.06381954252719879, '1_g_norm': 0.1421988308429718, '1_g_mean': 5.9117155615240335e-12, '1_g_std': 0.0028110004495829344}
{'0_w_norm': 9.248482704162598, '0_w_mean': -4.1442701331106946e-05, '0_w_std': 0.02064397744834423, '0_w_max': 0.03743348270654678, '0_w_min': -0.03659456968307495, '0_g_norm': 0.21359458565711975, '0_g_mean': 4.109324891032884e-06, '0_g_std': 0.0004767570935655385, '1_w_norm': 1.822296380996704, '1_w_mean': 0.001414914964698255, '1_w_std': 0.03599552437663078, '1_w_max': 0.06527376174926758, '1_w_min': -0.06413251161575317, '1_g_norm': 0.11600863933563232, '1_g_mean': 2.4056135555783342e-11, '1_g_std': 0.0022932698484510183}
{'0_w_norm': 9.248775482177734, '0_w_mean': -4.1187569877365604e-05, '0_w_std': 0.02064461261034012, '0_w_max': 0.03776538744568825, '0_w_min': -0.03674536943435669, '0_g_norm': 0.25553902983665466, '0_g_mean': -5.093901108921273e-06, '0_g_std': 0.000570378266274929, '1_w_norm': 1.8237237930297852, '1_w_mean': 0.001414914964698255, '1_w_std': 0.036023758351802826, '1_w_max': 0.06626050174236298, '1_w_min': -0.06445574015378952, '1_g_norm': 0.1430068165063858, '1_g_mean': 4.865796567748992e-12, '1_g_std': 0.002826972398906946}
{'0_w_norm': 9.249055862426758, '0_w_mean': -4.098266072105616e-05, '0_w_std': 0.020645245909690857, '0_w_max': 0.03795988857746124, '0_w_min': -0.03686623275279999, '0_g_norm': 0.2426299750804901, '0_g_mean': -9.51130368775921e-06, '0_g_std': 0.0005415026098489761, '1_w_norm': 1.8251429796218872, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.03605183959007263, '1_w_max': 0.06684289127588272, '1_w_min': -0.06474877893924713, '1_g_norm': 0.14823009073734283, '1_g_mean': 1.6132161578807924e-11, '1_g_std': 0.0029302267357707024}
{'0_w_norm': 9.24939250946045, '0_w_mean': -4.066982728545554e-05, '0_w_std': 0.020646002143621445, '0_w_max': 0.038250140845775604, '0_w_min': -0.037032775580883026, '0_g_norm': 0.21927247941493988, '0_g_mean': -5.095680535305291e-06, '0_g_std': 0.0004894221783615649, '1_w_norm': 1.8268457651138306, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.036085523664951324, '1_w_max': 0.0679546594619751, '1_w_min': -0.0650385171175003, '1_g_norm': 0.1212703213095665, '1_g_mean': 1.2505552420428306e-13, '1_g_std': 0.0023972834460437298}
{'0_w_norm': 9.249791145324707, '0_w_mean': -4.038482074975036e-05, '0_w_std': 0.02064688503742218, '0_w_max': 0.03858707472681999, '0_w_min': -0.03717722371220589, '0_g_norm': 0.21523164212703705, '0_g_mean': -5.358868975235964e-07, '0_g_std': 0.00048042868729680777, '1_w_norm': 1.8288354873657227, '1_w_mean': 0.001414914964698255, '1_w_std': 0.03612488880753517, '1_w_max': 0.0692058727145195, '1_w_min': -0.06534320116043091, '1_g_norm': 0.1284601092338562, '1_g_mean': 4.047251249417183e-12, '1_g_std': 0.002539411885663867}
{'0_w_norm': 9.250207901000977, '0_w_mean': -4.0161568904295564e-05, '0_w_std': 0.0206478089094162, '0_w_max': 0.038926687091588974, '0_w_min': -0.03733529895544052, '0_g_norm': 0.28538376092910767, '0_g_mean': -1.2968096598342527e-05, '0_g_std': 0.000636886921711266, '1_w_norm': 1.8309130668640137, '1_w_mean': 0.001414914964698255, '1_w_std': 0.0361659862101078, '1_w_max': 0.0702207088470459, '1_w_min': -0.06571263819932938, '1_g_norm': 0.1695041060447693, '1_g_mean': -5.1659298366812934e-11, '1_g_std': 0.0033507735934108496}
{'0_w_norm': 9.250655174255371, '0_w_mean': -3.9667098462814465e-05, '0_w_std': 0.020648809149861336, '0_w_max': 0.039291806519031525, '0_w_min': -0.03746899962425232, '0_g_norm': 0.21347978711128235, '0_g_mean': -8.135887583193835e-06, '0_g_std': 0.00047644911683164537, '1_w_norm': 1.8331547975540161, '1_w_mean': 0.001414914964698255, '1_w_std': 0.03621033951640129, '1_w_max': 0.07146354019641876, '1_w_min': -0.06604957580566406, '1_g_norm': 0.12193475663661957, '1_g_mean': -2.728484213739002e-13, '1_g_std': 0.002410417888313532}
{'0_w_norm': 9.25120735168457, '0_w_mean': -3.9252627175301313e-05, '0_w_std': 0.020650051534175873, '0_w_max': 0.039684902876615524, '0_w_min': -0.03765226528048515, '0_g_norm': 0.2594362199306488, '0_g_mean': 2.6953623546432937e-06, '0_g_std': 0.0005790939321741462, '1_w_norm': 1.8359458446502686, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.036265552043914795, '1_w_max': 0.07306599617004395, '1_w_min': -0.06644588708877563, '1_g_norm': 0.16526056826114655, '1_g_mean': 1.0982148350435761e-11, '1_g_std': 0.0032668868079781532}
{'0_w_norm': 9.251850128173828, '0_w_mean': -3.93249501939863e-05, '0_w_std': 0.02065148577094078, '0_w_max': 0.04004724323749542, '0_w_min': -0.03780867159366608, '0_g_norm': 0.25931447744369507, '0_g_mean': 4.013180841866415e-06, '0_g_std': 0.0005788145354017615, '1_w_norm': 1.8391623497009277, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.036329180002212524, '1_w_max': 0.07435721158981323, '1_w_min': -0.06691039353609085, '1_g_norm': 0.14744636416435242, '1_g_mean': 2.439719606894819e-11, '1_g_std': 0.0029147339519113302}
{'0_w_norm': 9.252557754516602, '0_w_mean': -3.87039763154462e-05, '0_w_std': 0.020653046667575836, '0_w_max': 0.040414322167634964, '0_w_min': -0.037888649851083755, '0_g_norm': 0.30405986309051514, '0_g_mean': 5.761722263741831e-07, '0_g_std': 0.0006787065067328513, '1_w_norm': 1.8426542282104492, '1_w_mean': 0.001414914964698255, '1_w_std': 0.0363982655107975, '1_w_max': 0.07602355629205704, '1_w_min': -0.06729819625616074, '1_g_norm': 0.180611714720726, '1_g_mean': -1.832631789377981e-11, '1_g_std': 0.0035703498870134354}
{'0_w_norm': 9.253355026245117, '0_w_mean': -3.785707667702809e-05, '0_w_std': 0.020654825493693352, '0_w_max': 0.04083585739135742, '0_w_min': -0.03801201283931732, '0_g_norm': 0.3206248879432678, '0_g_mean': -1.1491405530250631e-05, '0_g_std': 0.0007155900239013135, '1_w_norm': 1.8466287851333618, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.036476898938417435, '1_w_max': 0.07789568603038788, '1_w_min': -0.06775302439928055, '1_g_norm': 0.19386395812034607, '1_g_mean': 1.2623786738164e-10, '1_g_std': 0.003832321846857667}
{'0_w_norm': 9.254328727722168, '0_w_mean': -3.6841112887486815e-05, '0_w_std': 0.02065701223909855, '0_w_max': 0.041245512664318085, '0_w_min': -0.038174863904714584, '0_g_norm': 0.3710925579071045, '0_g_mean': -1.1862687642860692e-05, '0_g_std': 0.0008282486815005541, '1_w_norm': 1.8515076637268066, '1_w_mean': 0.0014149150811135769, '1_w_std': 0.036573413759469986, '1_w_max': 0.07935063540935516, '1_w_min': -0.06818494945764542, '1_g_norm': 0.27146944403648376, '1_g_mean': 6.582467904081568e-11, '1_g_std': 0.005366434343159199}
{'0_w_norm': 9.255250930786133, '0_w_mean': -3.603225923143327e-05, '0_w_std': 0.020659085363149643, '0_w_max': 0.041749704629182816, '0_w_min': -0.038308922201395035, '0_g_norm': 0.3237673044204712, '0_g_mean': -1.7224638213519938e-05, '0_g_std': 0.0007224914152175188, '1_w_norm': 1.8561207056045532, '1_w_mean': 0.001414914964698255, '1_w_std': 0.03666467219591141, '1_w_max': 0.08110769093036652, '1_w_min': -0.06861359626054764, '1_g_norm': 0.20025908946990967, '1_g_mean': -3.8758683762463164e-11, '1_g_std': 0.003958741202950478}
{'0_w_norm': 9.256294250488281, '0_w_mean': -3.523479972500354e-05, '0_w_std': 0.02066141925752163, '0_w_max': 0.04225161671638489, '0_w_min': -0.03848957642912865, '0_g_norm': 0.36512497067451477, '0_g_mean': -1.7156608009827323e-05, '0_g_std': 0.0008148324559442699, '1_w_norm': 1.8613057136535645, '1_w_mean': 0.001414914964698255, '1_w_std': 0.03676724433898926, '1_w_max': 0.08342891931533813, '1_w_min': -0.06902322173118591, '1_g_norm': 0.24707089364528656, '1_g_mean': 8.481037920560208e-12, '1_g_std': 0.004884121473878622}
{'0_w_norm': 9.257439613342285, '0_w_mean': -3.462827953626402e-05, '0_w_std': 0.02066395990550518, '0_w_max': 0.042741019278764725, '0_w_min': -0.03872613236308098, '0_g_norm': 0.3670080304145813, '0_g_mean': -1.6617261280771345e-05, '0_g_std': 0.0008190478547476232, '1_w_norm': 1.8669381141662598, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.03687867149710655, '1_w_max': 0.08474166691303253, '1_w_min': -0.069464311003685, '1_g_norm': 0.21357229351997375, '1_g_mean': -1.627995481479072e-11, '1_g_std': 0.004221917595714331}
{'0_w_norm': 9.258611679077148, '0_w_mean': -3.376344102434814e-05, '0_w_std': 0.020666595548391342, '0_w_max': 0.04320303723216057, '0_w_min': -0.038984667509794235, '0_g_norm': 0.31725063920021057, '0_g_mean': -9.776044862519484e-06, '0_g_std': 0.0007080829818733037, '1_w_norm': 1.8727611303329468, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.03699386119842529, '1_w_max': 0.08680720627307892, '1_w_min': -0.06988494843244553, '1_g_norm': 0.19005253911018372, '1_g_mean': -3.363993458793679e-11, '1_g_std': 0.003756977152079344}
{'0_w_norm': 9.260077476501465, '0_w_mean': -3.323558485135436e-05, '0_w_std': 0.020669855177402496, '0_w_max': 0.0437261164188385, '0_w_min': -0.03940849006175995, '0_g_norm': 0.42608121037483215, '0_g_mean': -1.8080618247040547e-05, '0_g_std': 0.0009509046212770045, '1_w_norm': 1.8799362182617188, '1_w_mean': 0.0014149151975288987, '1_w_std': 0.03713580593466759, '1_w_max': 0.08896584063768387, '1_w_min': -0.0704476535320282, '1_g_norm': 0.27626654505729675, '1_g_mean': -1.9099388737231493e-10, '1_g_std': 0.005461263470351696}
{'0_w_norm': 9.261665344238281, '0_w_mean': -3.272295725764707e-05, '0_w_std': 0.020673410966992378, '0_w_max': 0.044300321489572525, '0_w_min': -0.039772700518369675, '0_g_norm': 0.38031527400016785, '0_g_mean': -1.134378180722706e-05, '0_g_std': 0.0008488443563692272, '1_w_norm': 1.8877387046813965, '1_w_mean': 0.0014149150811135769, '1_w_std': 0.03729015961289406, '1_w_max': 0.09138378500938416, '1_w_min': -0.07090619951486588, '1_g_norm': 0.2242671698331833, '1_g_mean': -8.731149137020111e-11, '1_g_std': 0.004433335270732641}
{'0_w_norm': 9.263422012329102, '0_w_mean': -3.29523318214342e-05, '0_w_std': 0.020677320659160614, '0_w_max': 0.04489314183592796, '0_w_min': -0.040169503539800644, '0_g_norm': 0.33839163184165955, '0_g_mean': 4.165122845734004e-06, '0_g_std': 0.000755328859668225, '1_w_norm': 1.8962949514389038, '1_w_mean': 0.0014149150811135769, '1_w_std': 0.037459421902894974, '1_w_max': 0.09344737976789474, '1_w_min': -0.07140868157148361, '1_g_norm': 0.20775270462036133, '1_g_mean': -7.858034362095978e-11, '1_g_std': 0.004106875509023666}
{'0_w_norm': 9.265097618103027, '0_w_mean': -3.2176714739762247e-05, '0_w_std': 0.020681066438555717, '0_w_max': 0.04547910392284393, '0_w_min': -0.04047966003417969, '0_g_norm': 0.35094642639160156, '0_g_mean': -6.234582087927265e-06, '0_g_std': 0.0007833396666683257, '1_w_norm': 1.9044424295425415, '1_w_mean': 0.001414914964698255, '1_w_std': 0.03762059286236763, '1_w_max': 0.09491723030805588, '1_w_min': -0.07188558578491211, '1_g_norm': 0.23987437784671783, '1_g_mean': 6.75299833413634e-12, '1_g_std': 0.0047418600879609585}
{'0_w_norm': 9.267004013061523, '0_w_mean': -3.296462455182336e-05, '0_w_std': 0.020685311406850815, '0_w_max': 0.04625709727406502, '0_w_min': -0.04082222282886505, '0_g_norm': 0.33632996678352356, '0_g_mean': 3.100933554378571e-06, '0_g_std': 0.0007507320260629058, '1_w_norm': 1.9136468172073364, '1_w_mean': 0.0014149150811135769, '1_w_std': 0.03780267387628555, '1_w_max': 0.09660807996988297, '1_w_min': -0.07258494943380356, '1_g_norm': 0.22280457615852356, '1_g_mean': -3.7488234738702886e-11, '1_g_std': 0.004404422361403704}
{'0_w_norm': 9.26912784576416, '0_w_mean': -3.408655902603641e-05, '0_w_std': 0.020690064877271652, '0_w_max': 0.04717552289366722, '0_w_min': -0.04118899628520012, '0_g_norm': 0.5014055967330933, '0_g_mean': 1.924982643686235e-05, '0_g_std': 0.001119046239182353, '1_w_norm': 1.9239065647125244, '1_w_mean': 0.0014149151975288987, '1_w_std': 0.03800562769174576, '1_w_max': 0.09922882169485092, '1_w_min': -0.07332277297973633, '1_g_norm': 0.3603632152080536, '1_g_mean': 2.757588046797821e-10, '1_g_std': 0.007123694755136967}
{'0_w_norm': 9.271318435668945, '0_w_mean': -3.585486047086306e-05, '0_w_std': 0.020694967359304428, '0_w_max': 0.04808218777179718, '0_w_min': -0.041563842445611954, '0_g_norm': 0.5322626233100891, '0_g_mean': 2.9417113182717003e-05, '0_g_std': 0.001187724992632866, '1_w_norm': 1.9344321489334106, '1_w_mean': 0.0014149154303595424, '1_w_std': 0.03821384534239769, '1_w_max': 0.1007075086236, '1_w_min': -0.07407163828611374, '1_g_norm': 0.3892320990562439, '1_g_mean': -2.339220483982274e-10, '1_g_std': 0.007694377563893795}
{'0_w_norm': 9.273573875427246, '0_w_mean': -3.833658411167562e-05, '0_w_std': 0.020699968561530113, '0_w_max': 0.048860639333724976, '0_w_min': -0.04181085526943207, '0_g_norm': 0.35513943433761597, '0_g_mean': 3.296880822745152e-05, '0_g_std': 0.0007920380448922515, '1_w_norm': 1.9451320171356201, '1_w_mean': 0.0014149153139442205, '1_w_std': 0.0384255051612854, '1_w_max': 0.10197200626134872, '1_w_min': -0.07494810223579407, '1_g_norm': 0.24052231013774872, '1_g_mean': 2.1673259020804636e-10, '1_g_std': 0.004754668101668358}
{'0_w_norm': 9.275962829589844, '0_w_mean': -3.9629710954613984e-05, '0_w_std': 0.02070530690252781, '0_w_max': 0.04953519627451897, '0_w_min': -0.04206133261322975, '0_g_norm': 0.5098161697387695, '0_g_mean': 1.1998349691566546e-05, '0_g_std': 0.0011379220522940159, '1_w_norm': 1.956481695175171, '1_w_mean': 0.0014149151975288987, '1_w_std': 0.038650013506412506, '1_w_max': 0.10349974781274796, '1_w_min': -0.07592088729143143, '1_g_norm': 0.3512542247772217, '1_g_mean': 6.257323825753502e-11, '1_g_std': 0.006943627260625362}
{'0_w_norm': 9.278487205505371, '0_w_mean': -4.16880939155817e-05, '0_w_std': 0.020710937678813934, '0_w_max': 0.05044325068593025, '0_w_min': -0.04230574518442154, '0_g_norm': 0.4119759500026703, '0_g_mean': -1.814367715269327e-05, '0_g_std': 0.0009194124722853303, '1_w_norm': 1.9683847427368164, '1_w_mean': 0.0014149151975288987, '1_w_std': 0.03888547793030739, '1_w_max': 0.10531637072563171, '1_w_min': -0.07686954736709595, '1_g_norm': 0.256571888923645, '1_g_mean': -3.342393029015511e-11, '1_g_std': 0.0050719380378723145}
{'0_w_norm': 9.280987739562988, '0_w_mean': -4.283208181732334e-05, '0_w_std': 0.020716508850455284, '0_w_max': 0.05099593847990036, '0_w_min': -0.042551908642053604, '0_g_norm': 0.4296156167984009, '0_g_mean': 1.2306637472647708e-05, '0_g_std': 0.000958886812441051, '1_w_norm': 1.9801093339920044, '1_w_mean': 0.0014149151975288987, '1_w_std': 0.03911740332841873, '1_w_max': 0.10745863616466522, '1_w_min': -0.07806128263473511, '1_g_norm': 0.29173994064331055, '1_g_mean': -4.547473508864641e-11, '1_g_std': 0.005767142865806818}
{'0_w_norm': 9.283414840698242, '0_w_mean': -4.451013955986127e-05, '0_w_std': 0.0207219235599041, '0_w_max': 0.051643822342157364, '0_w_min': -0.042797189205884933, '0_g_norm': 0.4156908690929413, '0_g_mean': 2.617558311612811e-05, '0_g_std': 0.0009275144548155367, '1_w_norm': 1.9914332628250122, '1_w_mean': 0.0014149151975288987, '1_w_std': 0.03934139758348465, '1_w_max': 0.10932661592960358, '1_w_min': -0.07944876700639725, '1_g_norm': 0.2803851068019867, '1_g_mean': 7.365770493539259e-11, '1_g_std': 0.0055426801554858685}
{'0_w_norm': 9.286005020141602, '0_w_mean': -4.692338188760914e-05, '0_w_std': 0.02072771266102791, '0_w_max': 0.05237339437007904, '0_w_min': -0.0431286096572876, '0_g_norm': 0.49169695377349854, '0_g_mean': 1.0466889762028586e-05, '0_g_std': 0.001097490661777556, '1_w_norm': 2.0034687519073486, '1_w_mean': 0.0014149150811135769, '1_w_std': 0.039579473435878754, '1_w_max': 0.11178862303495407, '1_w_min': -0.08107174932956696, '1_g_norm': 0.3363875448703766, '1_g_mean': -1.8990249650574498e-10, '1_g_std': 0.006649741902947426}
{'0_w_norm': 9.288636207580566, '0_w_mean': -4.755812915391289e-05, '0_w_std': 0.020733559504151344, '0_w_max': 0.05288050323724747, '0_w_min': -0.04338724538683891, '0_g_norm': 0.4020347595214844, '0_g_mean': 2.3344773580902256e-05, '0_g_std': 0.0008970975177362561, '1_w_norm': 2.0155532360076904, '1_w_mean': 0.0014149153139442205, '1_w_std': 0.03981851786375046, '1_w_max': 0.11343526095151901, '1_w_min': -0.08226693421602249, '1_g_norm': 0.25071272253990173, '1_g_mean': -4.6284184818112806e-10, '1_g_std': 0.004956113174557686}
