{'0_w_norm': 9.237361907958984, '0_w_mean': -1.7891268726089038e-05, '0_w_std': 0.02061917819082737, '0_w_max': 0.03587852045893669, '0_w_min': -0.035759396851062775, '0_g_norm': 0.1893145889043808, '0_g_mean': -6.663804015261121e-07, '0_g_std': 0.00042257769382558763, '1_w_norm': 1.8289393186569214, '1_w_mean': 0.0011693042470142245, '1_w_std': 0.0361357256770134, '1_w_max': 0.06268280744552612, '1_w_min': -0.062470316886901855, '1_g_norm': 0.10415095835924149, '1_g_mean': -1.887201506178826e-11, '1_g_std': 0.002058866200968623}
{'0_w_norm': 9.237383842468262, '0_w_mean': -1.789131056284532e-05, '0_w_std': 0.0206192247569561, '0_w_max': 0.03609286621212959, '0_w_min': -0.03592429682612419, '0_g_norm': 0.19257764518260956, '0_g_mean': 1.6873644881343353e-06, '0_g_std': 0.0004298585990909487, '1_w_norm': 1.829035997390747, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.03613763675093651, '1_w_max': 0.06275077164173126, '1_w_min': -0.06250529736280441, '1_g_norm': 0.11720101535320282, '1_g_mean': 1.9053914696032237e-11, '1_g_std': 0.002316840924322605}
{'0_w_norm': 9.23744010925293, '0_w_mean': -1.785952554200776e-05, '0_w_std': 0.020619332790374756, '0_w_max': 0.036227114498615265, '0_w_min': -0.03598405048251152, '0_g_norm': 0.2234274446964264, '0_g_mean': -6.121329079178395e-06, '0_g_std': 0.0004986856947652996, '1_w_norm': 1.8292635679244995, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.03614214062690735, '1_w_max': 0.06335838884115219, '1_w_min': -0.06249835342168808, '1_g_norm': 0.1263270527124405, '1_g_mean': -9.549693934934878e-13, '1_g_std': 0.0024972453247755766}
{'0_w_norm': 9.237499237060547, '0_w_mean': -1.7838403437053785e-05, '0_w_std': 0.020619479939341545, '0_w_max': 0.03640250489115715, '0_w_min': -0.036101143807172775, '0_g_norm': 0.1996997594833374, '0_g_mean': -3.5016816468669276e-07, '0_g_std': 0.00044575936044566333, '1_w_norm': 1.8295819759368896, '1_w_mean': 0.0011693042470142245, '1_w_std': 0.03614843636751175, '1_w_max': 0.06381087750196457, '1_w_min': -0.0626119002699852, '1_g_norm': 0.11054417490959167, '1_g_mean': 3.637978807091713e-12, '1_g_std': 0.002185247838497162}
{'0_w_norm': 9.237606048583984, '0_w_mean': -1.8006561731453985e-05, '0_w_std': 0.020619701594114304, '0_w_max': 0.03660004213452339, '0_w_min': -0.03621509671211243, '0_g_norm': 0.22702303528785706, '0_g_mean': 4.675168838730315e-06, '0_g_std': 0.0005067275487817824, '1_w_norm': 1.8300714492797852, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.03615811839699745, '1_w_max': 0.06407361477613449, '1_w_min': -0.06270468980073929, '1_g_norm': 0.13406865298748016, '1_g_mean': -7.275957722603643e-13, '1_g_std': 0.0026502818800508976}
{'0_w_norm': 9.237722396850586, '0_w_mean': -1.8066930351778865e-05, '0_w_std': 0.020619969815015793, '0_w_max': 0.03680206090211868, '0_w_min': -0.036318786442279816, '0_g_norm': 0.1959780752658844, '0_g_mean': -7.143361244743573e-07, '0_g_std': 0.0004374515847302973, '1_w_norm': 1.8306671380996704, '1_w_mean': 0.0011693042470142245, '1_w_std': 0.03616990149021149, '1_w_max': 0.06441332399845123, '1_w_min': -0.06281867623329163, '1_g_norm': 0.10307800769805908, '1_g_mean': -1.8417267710901797e-11, '1_g_std': 0.0020376560278236866}
{'0_w_norm': 9.2378568649292, '0_w_mean': -1.8109207303496078e-05, '0_w_std': 0.020620279014110565, '0_w_max': 0.03699657693505287, '0_w_min': -0.036483969539403915, '0_g_norm': 0.22105641663074493, '0_g_mean': -5.0372423174849246e-06, '0_g_std': 0.0004934050375595689, '1_w_norm': 1.831349492073059, '1_w_mean': 0.0011693040141835809, '1_w_std': 0.036183394491672516, '1_w_max': 0.06487279385328293, '1_w_min': -0.06299259513616562, '1_g_norm': 0.12298262864351273, '1_g_mean': 1.391526911059815e-11, '1_g_std': 0.002431132597848773}
{'0_w_norm': 9.238027572631836, '0_w_mean': -1.821501791710034e-05, '0_w_std': 0.020620662719011307, '0_w_max': 0.03722451627254486, '0_w_min': -0.03665413707494736, '0_g_norm': 0.21270281076431274, '0_g_mean': 2.2465778783953283e-06, '0_g_std': 0.00047477890620939434, '1_w_norm': 1.832203984260559, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.03620029613375664, '1_w_max': 0.06536342948675156, '1_w_min': -0.06327467411756516, '1_g_norm': 0.11426391452550888, '1_g_mean': 9.345057713772142e-12, '1_g_std': 0.0022587801795452833}
{'0_w_norm': 9.238216400146484, '0_w_mean': -1.8233340597362258e-05, '0_w_std': 0.020621074363589287, '0_w_max': 0.0374319963157177, '0_w_min': -0.03682704269886017, '0_g_norm': 0.21060611307621002, '0_g_mean': -2.5957056095649023e-06, '0_g_std': 0.00047009694389998913, '1_w_norm': 1.833120346069336, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.03621842339634895, '1_w_max': 0.06590808928012848, '1_w_min': -0.06353741139173508, '1_g_norm': 0.11207892000675201, '1_g_mean': -1.4779288903810084e-12, '1_g_std': 0.0022155868355184793}
{'0_w_norm': 9.238443374633789, '0_w_mean': -1.817550219129771e-05, '0_w_std': 0.020621586591005325, '0_w_max': 0.03770134970545769, '0_w_min': -0.036982521414756775, '0_g_norm': 0.2202722579240799, '0_g_mean': 2.9967197860969463e-06, '0_g_std': 0.0004916712059639394, '1_w_norm': 1.8342612981796265, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.036240991204977036, '1_w_max': 0.06661046296358109, '1_w_min': -0.06394042819738388, '1_g_norm': 0.11993148177862167, '1_g_mean': -4.3655745685100555e-11, '1_g_std': 0.002370817121118307}
{'0_w_norm': 9.238722801208496, '0_w_mean': -1.8066783013637178e-05, '0_w_std': 0.02062220685184002, '0_w_max': 0.037961773574352264, '0_w_min': -0.03712781146168709, '0_g_norm': 0.24096567928791046, '0_g_mean': -3.07349318973138e-06, '0_g_std': 0.0005378623609431088, '1_w_norm': 1.8356455564498901, '1_w_mean': 0.0011693041305989027, '1_w_std': 0.036268364638090134, '1_w_max': 0.06717122346162796, '1_w_min': -0.06439027190208435, '1_g_norm': 0.13278594613075256, '1_g_mean': -2.0554580607012873e-11, '1_g_std': 0.0026249252259731293}
